timestamp,symbol,open,high,low,close,trades,volume,vwap,lastSize,turnover,homeNotional,foreignNotional
2020-10-13 00:00:00+00:00,XBTUSD,11411.0,11798.0,11205.5,11514.5,9954,9388192,11515.4307,1,81536322793,815.3632279300001,9388192.0
2020-10-12 00:00:00+00:00,XBTUSD,11234.5,11411.5,11178.0,11411.0,8662,4160198,11313.497,9,36775593619,367.75593619000017,4160198.0
2020-10-11 00:00:00+00:00,XBTUSD,11240.5,11707.5,11058.0,11234.5,10669,8030013,11346.8739,928,70775634347,707.7563434699997,8030013.0
2020-10-10 00:00:00+00:00,XBTUSD,10841.0,11860.0,10708.5,11240.5,12065,10645838,11098.7791,100,95926106846,959.2610684599989,10645838.0
2020-10-09 00:00:00+00:00,XBTUSD,10839.5,10920.0,10460.0,10841.0,11222,7329798,10678.0566,311,68645732304,686.4573230400001,7329798.0
2020-10-08 00:00:00+00:00,XBTUSD,10617.0,10840.0,10410.0,10839.5,13517,5271430,10628.122,1,49599525622,495.9952562200002,5271430.0
2020-10-07 00:00:00+00:00,XBTUSD,10789.5,10811.5,10448.0,10617.0,10691,5107474,10631.5118,50,48042592590,480.4259258999996,5107474.0
2020-10-06 00:00:00+00:00,XBTUSD,10688.0,10789.5,10543.5,10789.5,8950,6289789,10659.8444,3059,59010650832,590.1065083200001,6289789.0
2020-10-05 00:00:00+00:00,XBTUSD,10580.0,10955.0,10425.0,10688.0,6939,6026285,10708.9312,7,56276810660,562.7681066,6026285.0
2020-10-04 00:00:00+00:00,XBTUSD,10439.0,10954.0,10361.0,10580.0,6253,6153815,10617.9656,31,57957278789,579.5727878899997,6153815.0
2020-10-03 00:00:00+00:00,XBTUSD,10636.5,10637.5,10202.5,10439.0,9010,5218299,10481.0816,94,49792266921,497.92266921,5218299.0
2020-10-02 00:00:00+00:00,XBTUSD,10883.5,11012.5,10328.0,10636.5,13528,8447362,10714.6684,6,78840737447,788.4073744699998,8447362.0
2020-10-01 00:00:00+00:00,XBTUSD,10808.0,10895.0,10625.5,10883.5,9382,5263925,10744.6008,23,48992012302,489.9201230200001,5263925.0
2020-09-30 00:00:00+00:00,XBTUSD,10739.0,11194.0,10650.0,10808.0,10768,5609031,10799.1361,5,51942571868,519.4257186799991,5609031.0
2020-09-29 00:00:00+00:00,XBTUSD,10749.5,11199.5,10563.0,10739.0,14928,8920345,10857.7633,3,82161376683,821.6137668300001,8920345.0
2020-09-28 00:00:00+00:00,XBTUSD,10756.0,10880.0,10598.0,10749.5,12688,4412842,10729.6137,2,41130033487,411.30033487000037,4412842.0
2020-09-27 00:00:00+00:00,XBTUSD,10636.0,10800.0,10600.5,10756.0,6818,4294293,10723.8606,1,40047553912,400.4755391200001,4294293.0
2020-09-26 00:00:00+00:00,XBTUSD,10585.5,10782.0,10502.0,10636.0,16665,3430935,10602.2053,2,32362494906,323.62494906000177,3430935.0
2020-09-25 00:00:00+00:00,XBTUSD,10270.0,10700.0,10248.0,10585.5,11923,5633872,10544.0742,3,53432556516,534.3255651599999,5633872.0
2020-09-24 00:00:00+00:00,XBTUSD,10506.0,10673.5,10223.0,10270.0,14474,7093198,10447.1375,4,67901042872,679.0104287199993,7093198.0
2020-09-23 00:00:00+00:00,XBTUSD,10479.5,10606.5,10410.0,10506.0,10789,5390223,10506.4089,7,51305213794,513.0521379399999,5390223.0
2020-09-22 00:00:00+00:00,XBTUSD,11110.5,11111.0,10404.0,10479.5,12909,8816439,10703.2003,2,82378547564,823.7854756400008,8816439.0
2020-09-21 00:00:00+00:00,XBTUSD,11111.5,11132.0,10868.5,11110.5,9740,9051243,10976.9484,111,82463173488,824.6317348799995,9051243.0
